epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.37881,2.25462,10.428,2.17453,0.5148,0.19231,0.01807,0.01248,2.57626,6.40346,2.64579,1e-05,1e-05,1e-05
2,9.36927,2.24736,8.31847,2.21753,0.34807,0.19231,0.01802,0.01207,2.57391,6.46635,2.65717,2.9406e-05,2.9406e-05,2.9406e-05
3,11.0544,2.42359,9.71867,2.33357,0.34707,0.19231,0.017,0.01156,2.55696,6.59293,2.67088,4.802e-05,4.802e-05,4.802e-05
4,13.0266,2.4606,10.2592,2.31195,0.68015,0.02564,0.02027,0.01067,2.51311,7.73682,2.63015,6.5842e-05,6.5842e-05,6.5842e-05
5,15.5876,2.27706,5.49968,2.14741,0.00173,0.02564,0.0008,0.00023,2.31014,37.9871,2.43647,8.2872e-05,8.2872e-05,8.2872e-05
6,18.7198,2.08486,4.63584,2.09855,0.00036,0.02564,0.00026,9e-05,2.04363,71.5101,2.30753,9.911e-05,9.911e-05,9.911e-05
7,21.5024,1.8567,4.20119,1.91526,0.3815,0.07401,0.03939,0.02609,1.85836,39.7966,2.1457,0.000114556,0.000114556,0.000114556
8,24.3246,1.78268,3.70086,1.84108,0.48485,0.06533,0.07944,0.04021,1.81329,19.2519,2.10129,0.00012921,0.00012921,0.00012921
9,27.0111,1.87818,3.53857,1.86637,0.39302,0.12409,0.07128,0.03906,1.79692,14.0435,2.0816,0.000143072,0.000143072,0.000143072
10,29.5438,1.82898,3.30551,1.83139,0.38455,0.2959,0.08332,0.04489,1.77937,10.4583,2.05357,0.000156142,0.000156142,0.000156142
11,32.3149,1.62381,3.02126,1.66916,0.47347,0.22786,0.18196,0.12093,1.77415,8.47558,2.04559,0.00016842,0.00016842,0.00016842
12,35.1049,1.66411,2.87577,1.73412,0.58729,0.32207,0.3069,0.22033,1.74501,7.40201,2.01545,0.000179906,0.000179906,0.000179906
13,38.112,1.7145,3.06557,1.74142,0.78609,0.28319,0.37286,0.26353,1.76158,6.43034,2.05011,0.0001906,0.0001906,0.0001906
14,40.7415,1.52397,2.53408,1.61167,0.82108,0.30495,0.4471,0.30644,1.73293,6.09133,2.00522,0.000200502,0.000200502,0.000200502
15,43.4848,1.67649,2.9778,1.70301,0.79582,0.33645,0.62905,0.42122,1.689,5.22549,1.96557,0.000209612,0.000209612,0.000209612
16,46.3421,1.5618,2.51791,1.66576,0.70696,0.37277,0.57275,0.35339,1.65173,4.38869,1.91258,0.00021793,0.00021793,0.00021793
17,48.9287,1.55816,2.3561,1.6111,0.66306,0.43579,0.59211,0.3625,1.61167,3.74276,1.87385,0.000225456,0.000225456,0.000225456
18,51.679,1.51734,2.34322,1.57097,0.77563,0.45085,0.65975,0.42567,1.55087,3.28852,1.7866,0.00023219,0.00023219,0.00023219
19,54.1958,1.37699,2.36249,1.52996,0.7764,0.37879,0.44577,0.30396,1.53527,3.1232,1.73376,0.000238132,0.000238132,0.000238132
20,56.6798,1.52039,2.31544,1.64553,0.55203,0.4604,0.47213,0.32229,1.48927,2.96636,1.66078,0.000243282,0.000243282,0.000243282
21,59.1911,1.28778,1.94425,1.46673,0.72284,0.49079,0.51091,0.33993,1.51093,2.71842,1.66158,0.00024764,0.00024764,0.00024764
22,61.5128,1.3507,1.86635,1.39755,0.78226,0.4857,0.60999,0.41671,1.50155,2.59468,1.66346,0.000251206,0.000251206,0.000251206
23,63.214,1.34124,1.88013,1.46793,0.83025,0.48971,0.63372,0.40964,1.48346,3.06301,1.65617,0.00025398,0.00025398,0.00025398
24,64.8475,1.34098,1.8936,1.47011,0.79272,0.52393,0.75245,0.50718,1.50757,3.66156,1.67198,0.000255962,0.000255962,0.000255962
25,66.8603,1.4971,2.06995,1.58996,0.82553,0.48638,0.77961,0.52353,1.49133,3.12014,1.64762,0.000257152,0.000257152,0.000257152
26,68.8813,1.3279,1.68307,1.4308,0.49805,0.88595,0.80728,0.55851,1.42728,2.58449,1.58058,0.00025755,0.00025755,0.00025755
27,71.7348,1.3115,1.79691,1.44486,0.66857,0.80803,0.82678,0.59619,1.30319,2.07333,1.48811,0.000257156,0.000257156,0.000257156
28,74.632,1.22009,1.71633,1.36213,0.66857,0.80803,0.82678,0.59619,1.30319,2.07333,1.48811,0.00025597,0.00025597,0.00025597
29,77.3294,1.20909,1.58477,1.31808,0.893,0.72934,0.85113,0.61994,1.21025,1.70124,1.4259,0.000253992,0.000253992,0.000253992
30,79.7772,1.21818,1.5453,1.38317,0.91191,0.73371,0.85998,0.63206,1.15266,1.49599,1.37149,0.000251222,0.000251222,0.000251222
31,82.0327,1.20185,1.61688,1.35644,0.91191,0.73371,0.85998,0.63206,1.15266,1.49599,1.37149,0.00024766,0.00024766,0.00024766
32,84.9662,1.08491,1.45886,1.28196,0.84161,0.77022,0.85757,0.60648,1.11999,1.45721,1.33556,0.000243306,0.000243306,0.000243306
33,87.3491,1.135,1.60246,1.2792,0.79315,0.78759,0.85909,0.58944,1.12895,1.46871,1.31885,0.00023816,0.00023816,0.00023816
34,89.7744,1.26861,1.42165,1.40811,0.79315,0.78759,0.85909,0.58944,1.12895,1.46871,1.31885,0.000232222,0.000232222,0.000232222
35,92.2526,1.24949,1.46902,1.32018,0.81845,0.75378,0.8612,0.587,1.08026,1.40973,1.28792,0.000225492,0.000225492,0.000225492
36,94.5549,1.37716,1.665,1.44622,0.80261,0.73757,0.8856,0.58578,1.05926,1.4047,1.27116,0.00021797,0.00021797,0.00021797
37,96.9917,1.1848,1.57314,1.36759,0.80261,0.73757,0.8856,0.58578,1.05926,1.4047,1.27116,0.000209656,0.000209656,0.000209656
38,99.2931,1.13283,1.40622,1.23315,0.81606,0.72768,0.89388,0.61034,1.04891,1.35159,1.25411,0.00020055,0.00020055,0.00020055
39,101.642,1.0695,1.26144,1.20746,0.88726,0.72389,0.8982,0.64194,1.02551,1.2407,1.22924,0.000190652,0.000190652,0.000190652
40,104.846,1.13513,1.45442,1.30248,0.88726,0.72389,0.8982,0.64194,1.02551,1.2407,1.22924,0.000179962,0.000179962,0.000179962
41,156.938,0.98784,1.406,1.2828,0.8953,0.73598,0.9174,0.68317,0.95143,1.08654,1.1906,0.00016848,0.00016848,0.00016848
42,159.435,0.9881,1.27816,1.1862,0.90625,0.81964,0.95073,0.74506,0.89005,0.95803,1.15647,0.000156206,0.000156206,0.000156206
43,161.698,0.95513,1.352,1.28899,0.90625,0.81964,0.95073,0.74506,0.89005,0.95803,1.15647,0.00014314,0.00014314,0.00014314
44,164.063,0.92072,1.30018,1.23482,0.87207,0.87478,0.97732,0.79186,0.83276,0.86615,1.12872,0.000129282,0.000129282,0.000129282
45,166.894,0.89749,1.24495,1.2126,0.87207,0.87478,0.97732,0.79186,0.83276,0.86615,1.12872,0.000114632,0.000114632,0.000114632
46,169.665,0.96923,1.31847,1.24276,0.86681,0.9628,0.995,0.82063,0.78279,0.79886,1.09956,9.919e-05,9.919e-05,9.919e-05
47,172.151,0.79973,1.20465,1.15891,0.86681,0.9628,0.995,0.82063,0.78279,0.79886,1.09956,8.2956e-05,8.2956e-05,8.2956e-05
48,174.744,0.93826,1.13254,1.16254,0.90003,0.97318,0.995,0.8258,0.76144,0.75542,1.08684,6.593e-05,6.593e-05,6.593e-05
49,177.314,0.78581,1.1468,1.13612,0.90003,0.97318,0.995,0.8258,0.76144,0.75542,1.08684,4.8112e-05,4.8112e-05,4.8112e-05
50,180.156,1.02476,1.32814,1.3385,0.90759,0.9789,0.995,0.83171,0.74521,0.73623,1.07254,2.9502e-05,2.9502e-05,2.9502e-05
